,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
48,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,144,145,806,816,"The McMurdo Dry Valleys (MDV), Antarctica, are relatively simple soil ecosystems compared to temperate soils, making them an excellent study system for the trophic relationships of soil.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
49,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,573,574,3245,3255,"The McMurdo Dry Valleys (MDV) in Victoria Land, Antarctica, compose the largest ice-free area on the continent [6].",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
50,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Taylor Valley,Taylor Valley,1587,1589,8834,8847,Recent evidence showed that E. antarcticus occupied the omnivore-predator trophic level in Taylor Valley [35]; the presence of multiple trophic levels—from microbes and microbivores to omnivore-predators—indicates that biotic interactions existed in the MDV.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
51,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Taylor Valley,Taylor Valley,2636,2638,14106,14119,We aimed to inoculate Scottnema microcosms with S. lindsayae at abundances of 1000 to 2000 per kg dry soil (125 to 250 per microcosm) based on mean abundances found in Taylor Valley soils [8].,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
52,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Hjorth Hill,Hjorth Hill,3154,3156,16667,16678,"Since very few E. antarcticus were present in the Many Glacier Pond soil, ten bulk soil samples collected from moss beds in 2015 at Hjorth Hill were used for the collection of E. antarcticus for the Eudorylaimus treatment.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
53,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Hjorth Hill,Hjorth Hill,6061,6063,32124,32135,"This could be due to a number of stresses, including the storage of soils, transferring the nematodes from Hjorth Hill soils to Many Glaciers Pond soil, the stress of picking the nematodes by hand with the eyelash tool, or providing insufficient food sources.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
54,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,6669,6670,35717,35727,We would like to acknowledge the Crary Laboratory staff and PHI helicopters whose assistance with lab and fieldwork in Antarctica helped make this study possible.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
55,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,7036,7037,37259,37269,"Physical Controls on the Taylor Valley Ecosystem, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
56,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctic Dry Valley,Antarctic Dry Valley,7101,7104,37551,37571,"Treonis, A.M.; Wall, D.H.; Virginia, R.A. Invertebrate Biodiversity in Antarctic Dry Valley Soils and Sediments.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
57,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,7249,7250,38074,38084,"Adams, B.J.; Wall, D.H.; Virginia, R.A.; Broos, E.; Knox, M.A. Ecological Biogeography of the Terrestrial Nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
58,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,7378,7379,38677,38687,"[CrossRef] Courtright, E.M.; Wall, D.H.; Virginia, R.A. Determining habitat suitability for soil invertebrates in an extreme environment: The McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
59,lindsayae,lindsayae,False,276,277,1571,"Community treatments were: (1) Bacteria only (control), (2) Scottnema (S. lindsayae + bacteria), (3)",False,Antarctica,Antarctica,7423,7424,38867,38877,"The Influence of Soil Geochemistry on Nematode Distribution, Mcmurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
