,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,169,170,896,906,"Published: 20 October 2016 Citation: Wei STS, Lacap-Bugler DC, Lau MCY, Caruso T, Rao §, de los Rios A, Archer SK, Chiu JMY, Higgins C, Van Nostrand JD, Zhou J, Hopkins DW and Pointing SB (2016) Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,483,484,2523,2533,"doi: 10.3389/fmicb.2016.01642 Check for updates   Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica Sean T. S. Wei', Donnabella C. Lacap-Bugler'*, Maggie C. Y. Lau?, Tancredi Caruso?, Subramanya Rao“, Asuncion de los Rios®, Stephen K. Archer’, Jill M. Y. Chiu®, Colleen Higgins’, Joy D. Van Nostrand’, Jizhong Zhou’®°, David W. Hopkins’ and Stephen B. Pointing""""'* "" Institute for Applied Ecology New Zealand, School of Applied Sciences, Auckland University of Technology, Auckland, New Zealand, * Department of Geosciences, Princeton University, Princeton, NJ, USA, ° School of Biological Sciences, Queen’s University Belfast, Belfast, Northern Ireland, * Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China, ° Departamento de Biogeoquimica y Ecologia Microbiana, Museo Nacional de Ciencias Naturales, Madrid, Spain, ° Department of Biology, Hong Kong Baptist University, Hong Kong, China, ’ Department of Microbiology and Plant Biology, Institute for Environmental Genomics, University of Oklahoma, Norman, OK, USA, ° State Key Joint Laboratory of Environment Simulation and Pollution Control, School of Environment, Tsinghua University, Beijing, China, ° Earth Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA, '° School of Agriculture, Food and Environment, The Royal Agricultural University, Gloucestershire, UK, ""' Institute of Nature and Environmental Technology, Kanazawa University, Kanazawa, Japan The McMurdo Dry Valleys of Antarctica are an extreme polar desert.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,the Miers Valley,544,546,2955,2967,Here we report a combined diversity and functional interrogation for soll and hypoliths of the Miers Valley in the McMurdo Dry Valleys of Antarctica.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,656,657,3762,3772,"Keywords: Antarctica, cyanobacteria, Dry Valleys, Geochip, hypolith, soil INTRODUCTION",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,676,677,3870,3880,"The largest ice-free region in Antarctica is the McMurdo Dry Valleys (hereafter referred to as Dry Valleys) and these are designated by international treaty as an Antarctic Special Managed Area to reflect their unique ecological status (SCAR, 2004).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Dry Valley,Dry Valley,1528,1530,8418,8428,"We recently reported the first study of functional diversity for cryptic communities in a rocky, high altitude, inland Dry Valley location using the Geochip functional microarray, and identified that the ability to transform recalcitrant aromatics explained the major difference between rock and soil communities (Chan et al., 2013).",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
6,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,the Miers Valley,1617,1619,8930,8942,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,1624,1625,8965,8975,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,The Miers Valley,1638,1640,9059,9071,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Dry Valley,Dry Valley,1643,1645,9096,9106,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
10,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,Miers Valley,6514,6516,37350,37362,"Other observations of Miers Valley hypoliths support the conclusions of our sequencing-based study that shows they are dominated by cyanobacteria (Cowan et al., 2010, 2012), as well as sequencing studies from other dry valleys locations using clone libraries (Wood et al., 2008;",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
11,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,Miers Valley,6848,6850,39034,39046,"Here, constraints on intra- and inter-valley dispersal are envisaged as a major driver of local biogeography (Pointing et al., 2015), and a recent study revealed most airborne microorganisms in Miers Valley were of local Antarctic origin rather than arriving via longrange dispersal (Bottos et al., 2013).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
12,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,Miers Valley,7347,7349,41594,41606,Large areas of the valley floor hypolithic habitat in Miers Valley can become submerged during the brief Antarctic summer and so this may be reflected in the dominance of this taxon in our study compared to hypoliths in other environments.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
13,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,Miers Valley,7448,7450,42197,42209,This suggests that adaptation to moisture stress may not be the principal driver of diversity in the Miers Valley system.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
14,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,8624,8625,48733,48743,"Airborne bacterial populations above desert soils of the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
15,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctic Dry Valley,Antarctic Dry Valley,8910,8913,49825,49845,Functional ecology of an Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
16,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctic Dry Valley,Antarctic Dry Valley,9137,9140,50778,50798,Distribution and abiotic influences on hypolithic microbial communities in an Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
17,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctic Dry Valley,Antarctic Dry Valley,10918,10921,58308,58328,Abiotic factors influence microbial diversity in permanently cold soil horizons of a maritime-associated Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
18,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,169,170,896,906,"Published: 20 October 2016 Citation: Wei STS, Lacap-Bugler DC, Lau MCY, Caruso T, Rao §, de los Rios A, Archer SK, Chiu JMY, Higgins C, Van Nostrand JD, Zhou J, Hopkins DW and Pointing SB (2016) Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
19,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,483,484,2523,2533,"doi: 10.3389/fmicb.2016.01642 Check for updates   Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica Sean T. S. Wei', Donnabella C. Lacap-Bugler'*, Maggie C. Y. Lau?, Tancredi Caruso?, Subramanya Rao“, Asuncion de los Rios®, Stephen K. Archer’, Jill M. Y. Chiu®, Colleen Higgins’, Joy D. Van Nostrand’, Jizhong Zhou’®°, David W. Hopkins’ and Stephen B. Pointing""""'* "" Institute for Applied Ecology New Zealand, School of Applied Sciences, Auckland University of Technology, Auckland, New Zealand, * Department of Geosciences, Princeton University, Princeton, NJ, USA, ° School of Biological Sciences, Queen’s University Belfast, Belfast, Northern Ireland, * Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China, ° Departamento de Biogeoquimica y Ecologia Microbiana, Museo Nacional de Ciencias Naturales, Madrid, Spain, ° Department of Biology, Hong Kong Baptist University, Hong Kong, China, ’ Department of Microbiology and Plant Biology, Institute for Environmental Genomics, University of Oklahoma, Norman, OK, USA, ° State Key Joint Laboratory of Environment Simulation and Pollution Control, School of Environment, Tsinghua University, Beijing, China, ° Earth Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA, '° School of Agriculture, Food and Environment, The Royal Agricultural University, Gloucestershire, UK, ""' Institute of Nature and Environmental Technology, Kanazawa University, Kanazawa, Japan The McMurdo Dry Valleys of Antarctica are an extreme polar desert.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
20,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,the Miers Valley,544,546,2955,2967,Here we report a combined diversity and functional interrogation for soll and hypoliths of the Miers Valley in the McMurdo Dry Valleys of Antarctica.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
21,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,656,657,3762,3772,"Keywords: Antarctica, cyanobacteria, Dry Valleys, Geochip, hypolith, soil INTRODUCTION",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
22,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,676,677,3870,3880,"The largest ice-free region in Antarctica is the McMurdo Dry Valleys (hereafter referred to as Dry Valleys) and these are designated by international treaty as an Antarctic Special Managed Area to reflect their unique ecological status (SCAR, 2004).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
23,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Dry Valley,Dry Valley,1528,1530,8418,8428,"We recently reported the first study of functional diversity for cryptic communities in a rocky, high altitude, inland Dry Valley location using the Geochip functional microarray, and identified that the ability to transform recalcitrant aromatics explained the major difference between rock and soil communities (Chan et al., 2013).",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
24,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,the Miers Valley,1617,1619,8930,8942,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
25,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,1624,1625,8965,8975,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
26,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,The Miers Valley,1638,1640,9059,9071,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
27,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Dry Valley,Dry Valley,1643,1645,9096,9106,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
28,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,Miers Valley,6514,6516,37350,37362,"Other observations of Miers Valley hypoliths support the conclusions of our sequencing-based study that shows they are dominated by cyanobacteria (Cowan et al., 2010, 2012), as well as sequencing studies from other dry valleys locations using clone libraries (Wood et al., 2008;",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
29,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,Miers Valley,6848,6850,39034,39046,"Here, constraints on intra- and inter-valley dispersal are envisaged as a major driver of local biogeography (Pointing et al., 2015), and a recent study revealed most airborne microorganisms in Miers Valley were of local Antarctic origin rather than arriving via longrange dispersal (Bottos et al., 2013).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
30,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,Miers Valley,7347,7349,41594,41606,Large areas of the valley floor hypolithic habitat in Miers Valley can become submerged during the brief Antarctic summer and so this may be reflected in the dominance of this taxon in our study compared to hypoliths in other environments.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
31,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,Miers Valley,7448,7450,42197,42209,This suggests that adaptation to moisture stress may not be the principal driver of diversity in the Miers Valley system.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
32,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,8624,8625,48733,48743,"Airborne bacterial populations above desert soils of the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
33,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctic Dry Valley,Antarctic Dry Valley,8910,8913,49825,49845,Functional ecology of an Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
34,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctic Dry Valley,Antarctic Dry Valley,9137,9140,50778,50798,Distribution and abiotic influences on hypolithic microbial communities in an Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
35,Microcoleus,Microcoleus,True,4695,4696,25355,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctic Dry Valley,Antarctic Dry Valley,10918,10921,58308,58328,Abiotic factors influence microbial diversity in permanently cold soil horizons of a maritime-associated Antarctic Dry Valley.,False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
36,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,169,170,896,906,"Published: 20 October 2016 Citation: Wei STS, Lacap-Bugler DC, Lau MCY, Caruso T, Rao §, de los Rios A, Archer SK, Chiu JMY, Higgins C, Van Nostrand JD, Zhou J, Hopkins DW and Pointing SB (2016) Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
37,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,483,484,2523,2533,"doi: 10.3389/fmicb.2016.01642 Check for updates   Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica Sean T. S. Wei', Donnabella C. Lacap-Bugler'*, Maggie C. Y. Lau?, Tancredi Caruso?, Subramanya Rao“, Asuncion de los Rios®, Stephen K. Archer’, Jill M. Y. Chiu®, Colleen Higgins’, Joy D. Van Nostrand’, Jizhong Zhou’®°, David W. Hopkins’ and Stephen B. Pointing""""'* "" Institute for Applied Ecology New Zealand, School of Applied Sciences, Auckland University of Technology, Auckland, New Zealand, * Department of Geosciences, Princeton University, Princeton, NJ, USA, ° School of Biological Sciences, Queen’s University Belfast, Belfast, Northern Ireland, * Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China, ° Departamento de Biogeoquimica y Ecologia Microbiana, Museo Nacional de Ciencias Naturales, Madrid, Spain, ° Department of Biology, Hong Kong Baptist University, Hong Kong, China, ’ Department of Microbiology and Plant Biology, Institute for Environmental Genomics, University of Oklahoma, Norman, OK, USA, ° State Key Joint Laboratory of Environment Simulation and Pollution Control, School of Environment, Tsinghua University, Beijing, China, ° Earth Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA, '° School of Agriculture, Food and Environment, The Royal Agricultural University, Gloucestershire, UK, ""' Institute of Nature and Environmental Technology, Kanazawa University, Kanazawa, Japan The McMurdo Dry Valleys of Antarctica are an extreme polar desert.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
38,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,the Miers Valley,544,546,2955,2967,Here we report a combined diversity and functional interrogation for soll and hypoliths of the Miers Valley in the McMurdo Dry Valleys of Antarctica.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
39,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,656,657,3762,3772,"Keywords: Antarctica, cyanobacteria, Dry Valleys, Geochip, hypolith, soil INTRODUCTION",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
40,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,676,677,3870,3880,"The largest ice-free region in Antarctica is the McMurdo Dry Valleys (hereafter referred to as Dry Valleys) and these are designated by international treaty as an Antarctic Special Managed Area to reflect their unique ecological status (SCAR, 2004).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
41,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Dry Valley,Dry Valley,1528,1530,8418,8428,"We recently reported the first study of functional diversity for cryptic communities in a rocky, high altitude, inland Dry Valley location using the Geochip functional microarray, and identified that the ability to transform recalcitrant aromatics explained the major difference between rock and soil communities (Chan et al., 2013).",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
42,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,the Miers Valley,1617,1619,8930,8942,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
43,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Antarctica,Antarctica,1624,1625,8965,8975,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
44,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,The Miers Valley,1638,1640,9059,9071,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
45,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Dry Valley,Dry Valley,1643,1645,9096,9106,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
46,Phormidium,Phormidium,True,4697,4698,25368,"Identification of oscillatorian genera including Microcoleus, Phormidium, and cyanobacterial OTUs using RDP Classifier (Wang et al., 2007) Oscillatoria.",False,Miers Valley,Miers Valley,6514,6516,37350,37362,"Other observations of Miers Valley hypoliths support the conclusions of our sequencing-based study that shows they are dominated by cyanobacteria (Cowan et al., 2010, 2012), as well as sequencing studies from other dry valleys locations using clone libraries (Wood et al., 2008;",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
