,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
211,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,1246,1247,7075,7085,"In addition to its customary somatic functions (Hopkin 1997), the moult biology of Antarctic springtails has already been found to interact with, and/or facilitate, their occupation of Antarctica’s extreme terrestrial habitats in a number of ways including increased survival and tolerance of low temperatures (Worland 2005; Worland and Convey 2008), the off-setting of starvation (Hawes, Worland, et al. 2008; Hawes 2011), the provision of ‘rafts’ for floating on water bodies (Hawes, Worland, et al. 2008), and the avoidance of ultraviolet radiation photic damage by preferentially moulting in a nonilluminated habitat space (Hawes et al. 2012).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
212,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,1426,1427,8130,8140,These exuvial accumulations were found to be responsible for the binding of lithic particulate material together: the first unequivocal documented evidence of structural habitat modification by terrestrial invertebrates in Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
213,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Mount England,Mount England,1538,1540,8678,8691,"The study area was a rocky shoreline extending to the moraines of the Mackay Glacier terminus, bounded on its northerly side by steep rock scree slopes that lead up to Mount England, and on its southerly side by sea ice.",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
214,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,5168,5169,27601,27611,This is the first evidence that members of Antarctica’s terrestrial invertebrate fauna physically alter their abiotic environment.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
215,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,5505,5506,29384,29394,"Analysis of gut contents of Gomphiocephalus hodgsoni Carpenter (Collembola: Hypogastruridae) at Cape Geology, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
216,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,5691,5692,30320,30330,Antarctica’s geological arks of life.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
217,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,6435,6436,33848,33858,"Extremely large aggregations of collembolan eggs on Humble Island, Antarctica: a response to early seasonal warming?",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
218,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,6471,6472,34032,34042,"Expanded distributional records of Collembola and Acari in southern Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
219,Tullbergia,Tullbergia,False,6643,6644,34877,Factors that influence freezing in the sub-Antarctic springtail Tullbergia Antarctica.,False,Antarctica,Antarctica,6508,6509,34242,34252,"Long term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
220,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,558,559,3354,3364,"By comparison, traditionally, ecological interactions in Antarctica have been considered to be even more ‘minimal’ — although there is a general consensus that such a designation is based more on logical supposition than field evidence (Hogg and Stevens 2002; Hogg et al. 2006; references therein; Caruso et al. 2013).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
221,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,901,902,5272,5282,"For example, springtails (Collembola) are one of the most successful invertebrate taxa, flourishing in every terrestrial biome on the planet, from the tropics to Antarctica (Hopkin 1997).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
222,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,1246,1247,7075,7085,"In addition to its customary somatic functions (Hopkin 1997), the moult biology of Antarctic springtails has already been found to interact with, and/or facilitate, their occupation of Antarctica’s extreme terrestrial habitats in a number of ways including increased survival and tolerance of low temperatures (Worland 2005; Worland and Convey 2008), the off-setting of starvation (Hawes, Worland, et al. 2008; Hawes 2011), the provision of ‘rafts’ for floating on water bodies (Hawes, Worland, et al. 2008), and the avoidance of ultraviolet radiation photic damage by preferentially moulting in a nonilluminated habitat space (Hawes et al. 2012).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
223,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,1426,1427,8130,8140,These exuvial accumulations were found to be responsible for the binding of lithic particulate material together: the first unequivocal documented evidence of structural habitat modification by terrestrial invertebrates in Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
224,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Mount England,Mount England,1538,1540,8678,8691,"The study area was a rocky shoreline extending to the moraines of the Mackay Glacier terminus, bounded on its northerly side by steep rock scree slopes that lead up to Mount England, and on its southerly side by sea ice.",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
225,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,5168,5169,27601,27611,This is the first evidence that members of Antarctica’s terrestrial invertebrate fauna physically alter their abiotic environment.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
226,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,5505,5506,29384,29394,"Analysis of gut contents of Gomphiocephalus hodgsoni Carpenter (Collembola: Hypogastruridae) at Cape Geology, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
227,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,5691,5692,30320,30330,Antarctica’s geological arks of life.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
228,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,6435,6436,33848,33858,"Extremely large aggregations of collembolan eggs on Humble Island, Antarctica: a response to early seasonal warming?",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
229,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,6471,6472,34032,34042,"Expanded distributional records of Collembola and Acari in southern Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
230,Cryptopygus antarcticus,Cryptopygus antarcticus,True,6675,6677,35042,"The significance of the moult cycle to cold tolerance in the Antarctic collembolan, Cryptopygus antarcticus.",True,Antarctica,Antarctica,6508,6509,34242,34252,"Long term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
